"index","subj_idx","Sex","BirthYear","Education","shapeFileName","shape","shapeEn","shapeName","shapeNameEn","characterName","characterNameEn","misNum","correctResp","subjResp","series","condition","block","blockType","trial","response","acc","rt","time_elapsed"
"sv020002","sv020002","male",2000,"university","Tri.png","Tri",NA,"正方形","正方形",NA,NA,2,"m","null",0,"mismatch",NA,"prac",NA,0,0,"null",375296
"sv020002","sv020002","male",2000,"university","Pen.png","Pen",NA,"三角形","三角形",NA,NA,2,"m","null",0,"mismatch",NA,"prac",NA,0,0,"null",379010
"sv020002","sv020002","male",2000,"university","Tri.png","Tri",NA,"三角形","三角形",NA,NA,2,"n","null",0,"match",NA,"prac",NA,0,0,"null",382598
"sv020002","sv020002","male",2000,"university","Squ.png","Squ",NA,"三角形","三角形",NA,NA,2,"m","null",0,"mismatch",NA,"prac",NA,0,0,"null",386389
"sv020002","sv020002","male",2000,"university","Tri.png","Tri",NA,"五边形","五边形",NA,NA,2,"m","null",0,"mismatch",NA,"prac",NA,0,0,"null",389972
"sv020002","sv020002","male",2000,"university","Pen.png","Pen",NA,"三角形","三角形",NA,NA,2,"m","null",0,"mismatch",NA,"prac",NA,0,0,"null",393674
"sv020002","sv020002","male",2000,"university","Squ.png","Squ",NA,"正方形","正方形",NA,NA,2,"n","null",0,"match",NA,"prac",NA,0,0,"null",397648
"sv020002","sv020002","male",2000,"university","Tri.png","Tri",NA,"三角形","三角形",NA,NA,2,"n","null",0,"match",NA,"prac",NA,0,0,"null",401336
"sv020002","sv020002","male",2000,"university","Tri.png","Tri",NA,"三角形","三角形",NA,NA,2,"n","n",0,"match",NA,"prac",NA,1,1,"619.1",404380
"sv020002","sv020002","male",2000,"university","Pen.png","Pen",NA,"正方形","正方形",NA,NA,2,"m","m",0,"mismatch",NA,"prac",NA,1,1,"610.4",407404
"sv020002","sv020002","male",2000,"university","Tri.png","Tri",NA,"三角形","三角形",NA,NA,2,"n","n",0,"match",NA,"prac",NA,1,1,"516",410356
"sv020002","sv020002","male",2000,"university","Squ.png","Squ",NA,"五边形","五边形",NA,NA,2,"m","n",0,"mismatch",NA,"prac",NA,0,0,"775.7",413565
"sv020002","sv020002","male",2000,"university","Cir.png","Cir",NA,"三角形","三角形",NA,NA,2,"m","n",0,"mismatch",NA,"prac",NA,0,0,"1327.4",417316
"sv020002","sv020002","male",2000,"university","Tri.png","Tri",NA,"圆形","圆形",NA,NA,2,"m","n",0,"mismatch",NA,"prac",NA,0,0,"462.6",420196
"sv020002","sv020002","male",2000,"university","Pen.png","Pen",NA,"三角形","三角形",NA,NA,2,"m","m",0,"mismatch",NA,"prac",NA,1,1,"750.1",423364
"sv020002","sv020002","male",2000,"university","Cir.png","Cir",NA,"三角形","三角形",NA,NA,2,"m","m",0,"mismatch",NA,"prac",NA,1,1,"705.4",426515
"sv020002","sv020002","male",2000,"university","Tri.png","Tri",NA,"三角形","三角形",NA,NA,2,"n","n",0,"match",NA,"prac",NA,1,1,"839.4",429796
"sv020002","sv020002","male",2000,"university","Tri.png","Tri",NA,"三角形","三角形",NA,NA,2,"n","m",0,"match",NA,"prac",NA,0,0,"980.5",433203
"sv020002","sv020002","male",2000,"university","Squ.png","Squ",NA,"正方形","正方形",NA,NA,2,"n","m",0,"match",NA,"prac",NA,0,0,"1024.5",436659
"sv020002","sv020002","male",2000,"university","Tri.png","Tri",NA,"三角形","三角形",NA,NA,2,"n","n",0,"match",NA,"prac",NA,1,1,"727.4",439812
"sv020002","sv020002","male",2000,"university","Squ.png","Squ",NA,"正方形","正方形",NA,NA,2,"n","n",0,"match",NA,"prac",NA,1,1,"638.2",442884
"sv020002","sv020002","male",2000,"university","Squ.png","Squ",NA,"圆形","圆形",NA,NA,2,"m","m",0,"mismatch",NA,"prac",NA,1,1,"883.4",446195
